Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.0239532,40117
2,0.066,0.0439327,33990
3,0.099,0.0614694,29156
4,0.132,0.0778696,25105
5,0.165,0.0929098,21719
6,0.198,0.107567,18836
7,0.231,0.122707,16343
8,0.264,0.137126,14198
9,0.297,0.151394,12294
10,0.33,0.165832,10613
11,0.363,0.180047,9149
12,0.396,0.192526,7854
13,0.429,0.204399,6714
14,0.462,0.215785,5712
15,0.495,0.227291,4833
16,0.528,0.240114,4051
17,0.561,0.251313,3359
18,0.594,0.263324,2744
19,0.627,0.274059,2193
20,0.66,0.283724,1706
21,0.693,0.289769,1283
22,0.726,0.294853,915
23,0.759,0.303492,578
24,0.792,0.317655,274
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
