Time[frame],Time[s],MSD[um^2],N
0,0,0,0
1,0.033,0.0108249,17497
2,0.066,0.01844,15806
3,0.099,0.0243288,14115
4,0.132,0.0290124,12659
5,0.165,0.0329401,11384
6,0.198,0.0364193,10261
7,0.231,0.0396115,9254
8,0.264,0.0424615,8338
9,0.297,0.0453863,7522
10,0.33,0.0480974,6764
11,0.363,0.0506406,6069
12,0.396,0.0524019,5424
13,0.429,0.054036,4819
14,0.462,0.0554403,4252
15,0.495,0.0574664,3720
16,0.528,0.059185,3223
17,0.561,0.0594883,2756
18,0.594,0.0618446,2318
19,0.627,0.0634814,1907
20,0.66,0.0650262,1523
21,0.693,0.0668119,1176
22,0.726,0.0680024,848
23,0.759,0.0633118,541
24,0.792,0.066003,259
25,0.825,0,0
26,0.858,0,0
27,0.891,0,0
28,0.924,0,0
29,0.957,0,0
30,0.99,0,0
